tweet	label
@user @user which is also posturing nonsense . if they want to oust her they ' d forward the requisite letters to their part whip and she would be facing a leadership challenge . her ' challengers ' are as gutless and witless as she is .	1
@user hell nomaga	0
@user @user @user i know you are not this naive . those people make up a very small % of trump supporters . do all liberals support terrorist and ( groups such as antifa ?	1
@user @user capitalism has killed more than that since <number>	0
@user @user collins is not who she tries to make people believe she is .	0
@user geeezz and @user doesn t even air all that or the doug show $EMOJI$	0
@user he is bluffing . he shouldn t have brought it up . now trump need to insist or say it s proof he is lying . trump wins either way .	0
"@user @user hey you never walk alone "" "" you got the best of me "" "" im the one i should love in this world "" "" take my hand now you are the cause of my euphoria "" "" im learning how to love myself "" and the list just keeps growing ! ! ! """	0
@user @user @user @user how about trump sending out memes while he is president of him bashing hilary with a folding chair	0
@user @user @user the holy spirit is given when you are saved	0
@user @user mohammad hassan khalid is a traitor to the usa & to his fellow islamists he is unlikely to enjoy a long happy healthy life based on very poor decision making skills & values	0
@user @user i hope you are right !	0
@user and this from the clown that should be in prison ?	1
@user @user i suggest using the 2 nd to remove him .	0
@user @user @user @user @user clegg worked for the tories in europe . he was the ideal cameron bedfellow .	0
@user @user sorry but antifascists and left leaning people need guns for defence unlike what some liberal pundits are propagating with their gun abolition rhetoric . i used to support gun control but i don t trust leaving the state to have even more power over the majority worker class . also	0
<number> . trump and the mueller investigation <number> . climate change <number> . guns and gun control <number> . unions and workers save scotus whats at stake url	0
@user @user @user disgusting . these people will take over this country one day and then all the lefties and liberals will be very upset when they are forced to wear a burka . imagine @user $EMOJI$ . the worst mistake ever was letting these people in so freely . they do not appreciate it .	1
@user @user @user @user @user @user @user david calling for lynn to resign is an reckless and irresponsible statement and needs to resign immediately as he is unfit do hold any position anywhere . see what i did there .	1
@user we in this bitch together $EMOJI$ $EMOJI$ $EMOJI$	1
@user already my ass i had so many fucking shots tonight	1
@user @user i can not stand looking at him . take a stand not a knee	0
@user @user @user bring it ! i look fwd to the must - see tv drama where one of the most knowledgeable legal minds in the country ( and scotus nominee ) will cross examine a lady re : events from <number> yrs ago that has already shown that she can not remember location / time / people involved . maga	0
@user @user i am not watching it ever again . soccer anyone ? that damn soccer game in tn looked like a winner to me . usa beat mexico <number> - <number> . over 4 0 k attended . i think soccer can overcome football in the future .	0
@user @user @user @user @user @user i have . he is desperate to see what i am saying and report me . shame as he usually says nothing . another antifa pussy no doubt	1
@user @user she thinks she can run for president . these democrats seem to always forget there is video tape of all the stupid things they do . she is irrelevant ! scotus will be confirmed and america is on the path to recovery from the <number> years of obama ! $EMOJI$	0
@user @user @user @user oh boo you sound so ignorant with your words . we are on top . all of america is on top now . how about stop resisting and try to help make our nation the best for everyone not just liberals . wake up and walk away .	1
@user @user you look happy . maga	1
@user @user conservatives characterize an attempted rape allegation as bullsh*t then wonder why liberals describe them as anti - woman . the right thing to do is properly investigate the allegation . if she lying then prosecute her . if she s telling the truth kavanaugh shouldn t be confirmed .	0
@user happy dance that serena lost . she needed taken down a notch or two .	0
@user @user last tea party rally did not look like the last antifa rally did it ? misfits and unsuccessful people is all that rally on left .	0
can poli conservatives are excellent at running up debt and enriching their special interests . url	0
@user they are all democrats right ? they are not hiding it anymore ! fake journalists fake news no honor maga	1
@user @user she is asking questions there are no answers for .	0
@user bitch better serve	1
@user @user you are the poster child for marrying up .	0
@user watch me catching a plane to hungary only to beat your ass	1
@user @user you are not ' progressive ' without palestine . bds url	0
@user @user liberals cannot imagine a circumstance where they are forced to defend themselves or their family from violence . they imagine such an eventuality to be beyond the realm of possibility and they foolishly believe that the police will arrive quickly enough to save them .	1
@user @user absolutely no egos . jericho could have told vince to f off he is not getting stunned but not only did he do it he sold it as well . all the big guys took it on the chin when they had too that s what made it the good old days	0
@user @user a horrendous act of course . conservatives lie like they breath and are just generally awful human beings . i don t doubt the victims story even a tiny bit	1
@user democrats suffering from trump derangement syndrome are desperate . their dirty tricks will not work and the end is inevitable . maga tds walk away from democrats 2018 url	1
we are most definitely better off now than under the previous administration . . i still believe most sane people will vote with their head and wallet . there are many closet republicans who when the chips are down will vote red to save america and ignore the msm . kag 2018 maga url	0
@user ew . also bitte !	0
@user you are that mean ass cousin we all hate lol	1
@user he is the best	0
@user @user we love you baby $EMOJI$ maga	0
@user @user i m not a muppet . i m a <number> <number> <number> lbs voter who is of puerto rican decent that doesnt take bs from white liberals like you .	1
@user noticed she s a blonde . fits the conservative mold . i don t know why conservatives are obsessed with blonde hair and internet addiction .	0
@user guilty until proven innocent . . . right . . ?	0
@user i knew i wouldn t like what he did but i never ever thought that every single republican but sit by and let him do what he is doing now regarding everything that you mentioned in your tweet pretty	1
@user when you are playing inside you don t get beat inside . i agree not a major mistake . i m glad you found it because i was questioning my mind again .	0
even if the sexual misconduct is by gay <number> yr old gop men - they ' d call it youthful indescretion & get a mulligan from hypocritical evangelicals & maga * sshats . url	1
@user happening to lecor and i where our frame rate is down by a decent amount and frame drops	0
@user because conservatism is dying and they know it is . so they are going to try everything in their power to hold on to their perception of what america should look like despite the fact most americans are more centralist - liberals .	0
@user looks like misha	0
@user @user words . . . . words . . . monday is a different day . . .	0
@user @user he is too decent a man for this day and age .	0
@user @user if you are new to q or interested in q here is a link to the post url and watch pursuit of truth on youtube . he is easy to follow . enjoy the show ! !	0
@user has clearly been compromised . he is supporting behavior that is unconstitutional . url	0
@user <number> - <number> - <number> <time> congratulations ! you are on no blocklists that we can find by scraping publicly available blocktogether lists please check my follows for people incorrectly blocked - url	0
@user @user @user @user yes im the cousin of the infamous cheese !	0
@user wait for it . the dims are going to preach gun control . . . .	0
"@user real question : has ted cruz never dropped an f - bomb in his life ? is this something that should disqualify you from public office ? grabbing someone by the pussy "" literally & verbally , is a lot more offensive to me """	0
@user she is the absolute worst ! elizabeth holmes theranos 60 minutes so happy cms shut this fraud down !	0
@user ! maybe she was fucking hungry ! ! ! no one knows what kind of home life she has ! my goodness she is a child and this officer could have handled this better . sorry he needs to be fired	1
@user you are great on the five . can you stay in thst spot permanently ?	0
@user this girl called herself tryna call me ugly . i had to show her how ugly she is .	1
@user would you know who she is ? ? $EMOJI$	0
@user thanks and you are a good looking young man and hopefully will find yourself a loving beautiful young man to love and love you .	0
@user you are on the middle between regular stretcher and a bariatric .	0
loomer rachel rollins a dem running for da in boston . she plans to decriminalize what she calls petty crimes ( e . g . breaking and entering ) she is running in a crowded field & is being hailed by the media as the best candidate . thanks for doing what conservatives refuse to do ! url	0
now this makes sense . q anon @user maga walk away url	0
@user @user proud of you too ! you hold down the fort for us on sensible gun control . ty ! enough is enough	0
@user @user @user you never expect nikki haley in your mentions but then there she is	0
@user notice how much he keeps looking around ? he is looking for a little girl to touch . he is a disgrace to our country . maga	0
@user almost forgot you was a nigga in ya past life lmao	1
@user crazy liberals	1
@user beto - male	0
@user @user yall need to chill he is having a really abysmal 2 nd half . rizzo had an abysmal 1 st half . its baseball it happens . does he have things he still needs to work on yes . has the power numbers dropped yes . . . . . but he could bounce back at anytime . url	0
@user @user $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$ is this a joke ? ? ? cause its funny af $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$ $EMOJI$	0
@user @user @user she is an alt - left crazy and was discredited by numerous women . all you dems have left is lies . her name is dr . liar .	1
@user hey bitch daily reminder that i love you	1
@user @user you are the in educated twat ! that speed crap and can t read obviously !	1
should not pussy grabbing @user be the one wearing the gloves while handling food ? maga url	1
@user @user @user @user i would say you have a serious case of bias . have you seen the handiwork of antifa ? have you seen the dems like maxine waters calling for trump officials to be harassed then laughing about it . i could go on . are you kidding me ?	0
@user bless you ! ! ! are the camp organisers aware of this ? honestly why do people do this camp is supposed to be a fun safe place not a predatory ground asdfghjkl	0
@user @user is this for real ?	0
omg bobby brown sister leo lah brown is not having it with bet bobby roe story she is calling out his ex - wife for fabrication and lies celeb nmusic247 celebrity news breaking news news the bobby brown story url url	0
@user @user @user @user @user @user @user @user @user @user @user @user @user @user glad to jump in maga	0
@user all that money had not made u smarter .	1
@user maybe the gangs will in chicago will show up and discuss you philosophy on guns and gun control or sensible gun legislative measures . since you are from chicago and chicago is the home of gun violence in the us .	0
@user @user @user @user @user @user @user @user @user @user @user @user @user @user absolutely .	0
@user that s because he is a quack	0
@user you : are you ever going to listen to a different song ? me : no . * turns up volume *	0
@user @user without question professor ford is troubled that ' s being polite . half the women in the world ( probably more ) have been groped at one time or an other and do not hold on to it for <number> years . this is obviously a political ploy to deter scotus confirmation . @user maga	1
"@user how antifa ' s extremism is facism in the making "" now i am making the face in your avi """	0
@user she is $EMOJI$	0
@user you are correct for now but <number> games doesn t make a season . i thought he would do well ( but not this well ) . i thought the d would suck ( which they do ) and it would make them lose . i still feel that way .	0
@user @user @user false . they have not released the names of the <number> russians yet	0
@user this lies how she got the key ! why she don t admit she was in date or maybe had nsa with ? she is married ? what is true story ! bs ! ok we all respct police officer but her story and excuse full of shit ! please post her photo ! let see how fat she is !	1
@user @user @user @user @user @user welcome back home to south africa champ $EMOJI$ . i am sure you are very happy to be back home with all your family and friends $EMOJI$ . enjoy your time here in sa $EMOJI$	0
"@user chris , chris , chris . . . . are you forgetting the mantra of every single libtard pusher of common sense gun control "" ? when all guns are outlawed , the criminals will voluntarily give up their guns , out of a sense of compassion . """	1
@user @user once again @user does zero research . but she is on the tv ! !	0
@user @user @user because some people are bastards . you are hopelessly nave if you think plenty of frauds will not take advantage of this law change for malign purposes .	1
@user @user it ' s amazing how people see things so different !	0
@user @user i recognize the one as antifa based on the board he becomes	0
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user why are we engaging a brit antifa again ? i lost track .	0
me too movement has become a far left liberal political machine ran by feminist hacks that hate all men and conservatives . trump maga kavanaugh confirmation hearings	1
@user @user @user why do some conservatives blindly follow a fascist ?	1
@user please be aware that the following person who has confirmed attending fordfestnd is the guest list , is canada ' s top antifa anarchist and intends to disrupt event . his name is alex hundert url	0
there is only one reason why christine blasey ford will not testify against kavanaugh ; despite her serious allegations . she can not testify under oath . she will be a willing dem ; but does not want to perjure herself . less than <number> days until nov election potus trump maga kag news url	0
@user and then wana talk shit when you play something they don t know but the song be fire and end up blowing up then later becomes they song $EMOJI$ $EMOJI$	1
@user that ' s deplorable . still have not explained why this is relevant to me somehow . i have also appeared on the same exact show with an antifa homosexual who has hiv .	0
@user @user lol another illegal antifa girl	1
@user @user @user @user apparently bald men hate women and think they should not speak . . . and we are all crazy conservatives . none of which are true about me except the bald part . . . but i like when people argue with anger . . . it ' s entertaining .	0
trump is making america great again via @user url	0
@user no worries ! thank you for responding can i ask you a question i find it very interesting ? can you tell me why you are an atheist i am just curious .	0
@user there she is . . . url	0
@user exactly . she does not want to perjure herself since she is being nothing but a paid actress .	0
@user @user and those same politicians from both @user and @user are selling the country down the drain .	1
"@user @user awesome ! every antifa should go through this initiation "" $EMOJI$ """	0
@user why do all crazy liberals have crazy eyes ? lol url	1
@user are you guys gonna play she is beautiful tonight ?	0
@user yes you are but i was asking what is it about the movie ? $EMOJI$ $EMOJI$	0
@user @user to justify his death to racists & bigots . they are excuse will be well he had weed so he is a criminal & deserved to be murdered . just wait till the excuses start .	1
@user @user i recall hearing maxine waters issue a summons for all people get up in the face of the republicans and conservatives . payback ' s a b * * * * ain ' t it ?	0
@user @user funny how the we need more gun control fanatics think they want a shooting war . where are they going to go to get their free obama guns	0
maga much ? url	0
@user @user @user most stupid tweet yet . . . and yes . . . its a libtard $EMOJI$ $EMOJI$	1
tonight : exposing the truth behind the accusations targeting supreme court pick brett kavanaugh . also : hurricane florence damage totals rise in concert with the floodwaters & the blatant congressional republican betrayal that could cost them the election maga tcot kag url	0
@ my lrt im dydinv g she is beautiful	0
@user @user @user liberals have made it an art form . trough time $EMOJI$ $EMOJI$	0
@user yay ! ! so happy she is well hehe .	0
@user hey doug . we had a large amount of contacts recently . we apologize for any inconvenience this may cause you . are you referring to your tweet about the blue screen crash on ps4 ?	0
@user @user yes if only antifa would leave the poor nazis alone is a statement for the ages . . . $EMOJI$	0
@user * he screams and releases <number> gallons of cum with enough pressure to make at least <number> gallons squirt from his big brother ' s mouth *	0
@user does this guy even read the bible ? url	0
ohio we have to make sure we get jim renacci elected for senate . america is here for you . let us all maga together - url url	0
@user @user where is joseph mifsud ? dems don t want to find him . he is the key .	0
@user my name is whitney not whitey	0
@user @user levi s just came out in support of student gun control activists . now the trumpers will be burning their jeans as well as their sneakers !	1
@user haley thanx ! you know how to brighten up my shitty day $EMOJI$	0
@user she is $EMOJI$ $EMOJI$ $EMOJI$	0
@user @user @user @user @user @user gun violence is low except in democrat controlled cities w / strict gun control policies where criminals are armed and citizens are not .	0
@user the tweets show how demented liberals have become . they have zero credibility	1
@user @user apparently conservatives are now automatically guilty of any crime or assault that shows up from no where at the last possible minute . we are no longer presumed innocent until proven otherwise .	0
@user @user he should have started since game <number> . but do not worry once he gets the start it will change the faith for the browns . he is a winner ! ! ! nothing against current starter . but he is just a back up in the nfl .	0
@user @user i understand i sound cold - but i love nintendo . this money grubbing bastards $EMOJI$	1
@user . . . . . . . . thank god it was not a mosque ! !	0
@user @user you align yourself with an organization that butchers babies for profit . than scream about the need for gun control and the violence against our children but somehow your ok with the butchering of 1 0 0 s thousands of innocent defenseless babies every yr if it lines your pockets .	1
ahh i miss them sm $EMOJI$ $EMOJI$	0
@user @user @user @user chris burns you are a fascist . nothing more than that .	1
@user the liberal msm are the stalkers along with antifa . vote red to save america	0
@user @user you can t tell us conservatives that @user didn t connive with @user to keep all of this under wrap till time for final potus vote . . dirty politics	0
@user they ve really had a big impact since i decided to put them on yesterday maga	0
@user fixing that headline for you . antifa protestors chant we believe christine ford	0
@user @user why do all you liberals insist on trying to control everyone in america ? why do you insist those of us that work hard for our money have to give it to people who do not ? why do all you liberal millionaires keep your millions while forcing me to give away every dime i make ?	0
"maga christine ford trump 2020 tcot ccot america first patriots @user brett kavanaugh had this to say about bill clinton during whitewater : it ' s imperative to make his pattern of revolting behavior clear - - piece by painful piece . "" indeed . url"	1
@user sen tim kaine is ecstatic his basement boy son has found his niche working for the fbi as a black op coordinating & joining antifa terrorist organization ! url	0
"@user @user actually we got gun control and gun grabbers dancing on their graves immediarely using it for political fodder . accusing nra instead of removing sheriff & runcie who got paid by obama ' s promise program to not arrest kids b / c it was racist "" """	1
@user and twitter seems to be beholden to cnn	0
@user if it doesn t have m & m s it s not trail mix . you are kicking ass and doing awesome . keep it up ! ! !	1
@user you are the besth	0
@user too many corrupt evil beings hold govt positions amd / or have too much clout w / the corrupt & evil beings in gvt positions . & the majority all point to the left w / a few fake conservatives in the mix . why else is hillary / obama & their cronies still walking free ?	1
@user as a member of antifa ? <wink>	0
@user i had not really thought of it since i only really worship the aesir . though lots of people like to use the vanir in arguments as examples of this or that . modern liberals saying it is race mixing for instance . theologically we do not recognize much different between tribes though .	0
gop in striking distance to retake franken seat maga url	0
@user @user she is absolutely amazing $EMOJI$	0
@user i do not think you know what you are advocating for . and you certainly do not know that saying what you said leads to a bunch of shit you probably would not like whether that ' s what you meant or not .	0
@user radical left : antifa . victim culture . there are over <number> genders . hate speech is an act of aggression . free speech should be limited . no guns . sanctuary cities . illegal ' s have rights too . open borders . trump derangement syndrome . voting party over platform . feelings over facts .	0
@user she is so fake	1
@user only the real ones .	0
". . . if you actually d i d expose that , i ' d be questioning you . "" she ' s shifting a little , exhaling rather shakily . she is tempted to shush him . ( how cheeky ) . url"	0
@user @user deep throat	1
@user @user @user he is an emotionally detached and cautious man . his youthful ( <number> to <number> ) military service and connections to naval intelligence have never really been talked about . i think that there is still some deep throat stuff that was hidden by the outing of a confused mark felt .	0
@user i can see a case for it based on the evidence of how appalling badly the conservatives have gone about brexit and now that we have a clear idea of what leaving means .	0
a bitch built like that could beat my ass all she wants url	1
@user @user thats perfectly true . torys and labour are different but pretty much extreme it looks like normality doesnt exist anymore . none of them is even able to name the problem as it is how can they solve anything . not that liberals would be that much better	0
@user he is spot on ! ! ! thanks joe and creepy jr for spreading joe s message !	0
@user eject him from the senate . what rule will he break next time . if you can t follow rules you shouldn t be a senator .	0
<number> / <number> political corruption : texans : among liberals and conservs , r ' s and d ' s , large majorities favor limits on campaign spending and say the high cost of campaigning discourages many good candidates from running for president . betofor senate url	0
@user the reason you haven t heard from dr ford about whether she is available to testify on monday yet is because she is feverishly trying to find someone to corroborate her story with the help of the dnc and soros deep pockets !	0
@user depends on which way you point them	0
@user looks like antifa to me . . . . just saying . url	0
@user @user wow she is nuts !	0
@user yes she is	0
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user president trump will post a message <number> - <number> to our cell phones . prepping for internet social media block out .	0
@user @user you d also know this isn t about women at all b / c democrats don t call for justice for women assaulted by democrats when there is both evidence of injury & police reports . you d know dems only demand conservatives be found guilty upon accusation . you d know this is all political . url	1
@user please leave my girlfriend alone i know she is too good yall do not understand .	0
@user i understand annie she is stuck in between ! i understand her !	0
@user you will see more and more shocking vigilante style justice like this . liberals on these courts are out of control . swamp creatures in dc beware . start serving the u.s. citizens 1 st . lot of fed up americans across this great country of ours . url	1
@user the fuck !	1
@user we re defo living in the last days	1
if i have to tolerate ur loud ass maga merch dont say shit about my nike anything kiss my ass	1
@user school food ass anyways $EMOJI$ $EMOJI$	0
@user @user @user i think staff is top <number> - <number> too . ben is just getting old and run down now but to say he is trash is crazy talk . he s had a good career . partially because the steelers have always been a good org but he s done his share to help also	0
"@user liberals sure love to spend other people ' s money ! ! ! ! ! ! hope and change "" really works well for the obamas who are multi millionaires . their fortunes have really changed for the better ! ! ! ! ! ! if liberals have any brain cells left , they ' d vote for president trump ! """	1
@user you are cum	0
@user she is my friend	0
"@user @user to the view "" all the persons involves in the show - please you are better than "" this "" to have self promoting "" stripper "" on with her lawyer please don ` t lower your standards ! ! ! """	0
@user @user @user i do not even understand what you are saying . wow .	0
@user @user only if soros says i can !	0
@user that s so fucked up omg in my old hs there s open campus and for every period you skip there s a <number> dollar fine lmaooo	1
@user he is not working for texas he is paid by the soros cartel . not fond of cruz but beto is a dangerous person ! just another dnc sheeple !	1
@user @user @user i m really not on any side of this mess but all day people were siding with cardi talking bout nicki and do shit . jsjdhkdfhjfkfkhsjdhd messsssss ! !	1
@user @user @user @user @user what freedom do you have that people who live with gun control don t have ?	0
@user no bitch i meant i didnt know we were doing it not zoomed in no bitch this is fun	1
police pay rise <percent> crisis in policing policing in collapse tories & theresa may hatred of police ! @user lbc url	0
@user what ' s that gif called ?	0
@user but i dont think all of us are depressed . i think on social media it s all perfect and shit but social nedia only portrays one part of a persons life . as far as help i think it s the same as it s always been	0
@user she is a liar ! doesn t even remember all ! says it right there !	1
@user how about telling senator cory spartacus booker to stop taking money from big pharma and how about if aarp stops being so biased towards the liberals and remember that some of your customers are republicans	0
@user you are amazing . you fill our days with light . do not ever change . love from your irish fan .	0
"@user @user i wonder if they will burn their levis since @user has come out in favor of gun control ? levi strauss teams up with gun control group : we cannot stand by silently "" url url"	1
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user why do the libdems deserve your anger today more than ( <number> ) conservatives ( <number> ) corbyn ?	0
@user maybe she is just supporting a pill that aborts all computer emails . seems to have worked for her pretty well . coming to stores soon the bleachbit pill . if you buy now they will include a free sledge hammer as well .	0
@user all that does is reinforce the fact that @user is as much in the gutter as @user	0
@user why would kerry want to appear to be talking to the iranians . there is no doubt he is trying to talk them into waiting out trump . that ' s treason in my book to feel that you think you know better what the us policy should be than the us gov ' t . promoting his book for personal gain !	0
@user kerry is so full of shit he is undermining things and he knows it ! the iran debacle is his baby and he wants to keep it no matter what it costs ! ! ! ! ! ! ! !	1
@user how ? because they ve been brainwashed by obama and the media and they re full of hate for conservatives .	1
@user @user people died in puerto rico because of their government s corruption ! ! ! !	1
@user you still have not addressed your solution to make schools safer . . . . you just preach more gun control . . . what are your solutions ? ? ?	1
@user @user @user @user @user odd . stating opinions comes with an attack ( cunt and assumption of a streamer using boobs for attention . ) it was verbal diarrhea from a person who ought to know better .	1
@user @user @user @user @user lmao you are too dumb . . . forgive my manners but this pile of shiit you just said can give cancer . url	1
$EMOJI$ maga patriot qanon walk away wwg 1 wga gods army the great awakening jesuslives @user @user catch the red wave vote red me too ! all aboard the trump train url	0
@user abortion on demand - that s what she wants !	0
@user @user @user can you eat this child you are wild	0
tories labour ge 2017 conservatives conservatives url cchqpress : $EMOJI$ pm natfednews : today i can announce that new longer - term partnerships will be opened up to the most ambitious housing associations through a ground - breaking <money> billion initiative	0
@user all it needs is warm beer and i d be back in college .	0
@user eric pay your taxes and go straight to jail .	0
@user is this you disavoving antifa ? are you going to start condemning the many death threats against our president ? will you come out and denounce the vile hate spewed at the president and other republicans ?	0
@user liberals will liberal !	0
@user it would mean so much of an amazing girl ( @user could have some advice from you . she is finally following her dream of being a photographer and would love some tips . her photos are amazing already so i know she is gonna be an even more amazing later on $EMOJI$	0
@user now you are a netflix whisperer ? jack of all trades right here . $EMOJI$	0
@user @user @user i do not think you have a clue what leadership and liberals have the temperament of <number> year old children being told no . . . . you have the intellectual brilliance of a goat . . please stop tweeting . tds is making look quite the fool . .	0
@user @user you are running scared !	0
@user god help us	0
@user @user @user @user wrong . . . we are sending another giant f . . . . you to liberals . . . $EMOJI$	1
. @user it s sad and scary that the french so - called justice system is ordering @user le pen to undergo psych eval because she dared to reveal the horrors of daesh / isis . the true crazies are radical muslims and liberals who protect them .	0
@user @user if trump wins <number> and growth continues will the crazy liberals still be thanking obama <number> years from now . of coarse the will because when the argument is lost all that is left is too dispute the facts .	1
@user he just doesn t fit the team now . agholor should stay in the slot because that s where he is successful . jmatt is not an outside threat .	1
rss reaches out so called liberals exposed . . want talk with terror state . . but boycott rss covention .	0
<number> winning arguments against gun control libertennial url	0
@user he do not seems happy just look at his eyes its like he is staring into ur souls	0
@user @user be safe you fucker	1
@user @user still no excuse . . . where tf are her parents ? ? ? they are using him & he is using her .	1
@user @user @user @user @user @user @user @user @user @user @user @user @user @user a better question : what do american voters need to do to defeat antifa & their democrat sponsors ?	0
@user @user it is all okay with the liberals if it furthers their agenda . they have no core .	0
@user and trump has to go . . . . i ve got one word anti fa $EMOJI$ $EMOJI$	0
@user @user i love the insights into a culture and a world i knew nothing about and i am able to relate to the characters who are unique in crime fiction .	0
@user but honestly the cameras suck ass they are great if you do not zoom in	0
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user well hello there	0
@user he is coming to purpleumpkin where he becomes one of the murples . i will send him a ticket to travel . god speed !	0
@user attention of bigger accounts is everything on here . the smaller you are the more you vanish in nowheresland . $EMOJI$ sometimes they even believe to be something better because of the numbers on their follower - count .	0
i just threw up in my mouth . lock her up maga url	1
@user @user i mean gun control so you can not defend yourself	0
@user you are . . .	0
@user @user it takes a 2 sec google search to see who this accuser is - i will help the mindless uneducated liberals . url	1
@user @user @user oh boy just wait ! you are in for a surprise ! can not believe anyone to be that ignorant ! lmao !	1
@user doomentio	0
@user @user @user @user @user @user they coming . url	0
@user @user those are the liberals	0
@user you don t agree sexual assault is more serious than marijuana use ? how many baseless allegations are supported by therapist corroboration <number> years beforehand ? there s evidence and conservatives are afraid investigation would make it more convincing .	1
@user good move . . . . he is the big loser	1
@user i cackle at something different shit every time i watch it lol	1
@user brown like you	0
@user that s one way to look at it . the other is that the charge is bullshit for almost everyone .	1
@user really ? can you show me the studies from countries that have common sense gun control to support your statement . thx .	1
"@user i dont think it was her race or looks . biden and liberals were put on strategic defensive by ct ' s claim that he was being electronically lynched . he played the race card and liberals folded like cheap suits . gopers now just do not care . """	0
@user that asshole has so much nerve . unreal .	1
@user disgusting !	1
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user followed all those that i haven t . please follow back .	0
@user agreed . . . he is the future !	0
@user @user says social housing is good and in the same breath talks of climbing the ladder . hypocrisy incarnate from a failed lying politician lining her party ' s pockets with tax money for real estate builders @user building their failure of lies	1
@user @user i voted liberal for the first time on account of harper . . . i am satisfied with the liberals	0
@user always thought h ford was a level headed guy ! guess not ! note to ford : climate change is summer - fall - winter - spring ! ! happens every year ! get over it !	0
@user this is an outstanding thread and expert insight - esp about the reagan years which i studied in college . he is spot on and there was such a titanic shift begins in the 9 0 s with rhe contract with america bs to the immigration issues in ca ( prop <number> )	0
